text,normalized_text,intent,drug_entities,generic_name
أنا حامل في الشهر الرابع وعندي حساسية جلدية شديدة، الدكتور كتب لي تيكسيل مرهم، هل هو آمن,هل مرهم تيكسيل آمن للاستخدام لعلاج الحساسية الجلدية أثناء الحمل,contraindication,تيكسيل,Tacrolimus
أبي عنده ديسك في الظهر، وانتفخت عينه اليمين وهو بيستخدم لصقة ديكلوفيناك,هل يمكن أن يسبب دواء ديكلوفيناك الموضعي تورم في العين كأثر جانبي,side_effects,ديكلوفيناك,Diclofenac
أنا بستعمل كريم بيتنوفيت لإكزيما في إيدى، لاحظت إن الجلد بيبقى أرفع لما بأستعمله كتير,هل استخدام كريم بيتنوفيت لفترة طويلة يؤدي إلى ترقق الجلد,side_effects,بيتنوفيت,Betamethasone
أنا عندي نقص في فيتامين د، الدكتور كتب لي فيتامين د 50000 وحدة أسبوعيًا، أول جرعة حسيت بدوخة,هل الدوخة من الأعراض الجانبية المحتملة لجرعة عالية من فيتامين د,side_effects,فيتامين د,Cholecalciferol
أنا مريض صدفية وبياخد ميثوتريكسات، دكتوري قال لي أعمل تحليل وظائف كبد، ليه,ما أهمية تحليل وظائف الكبد للمرضى الذين يتناولون دواء ميثوتريكسات لعلاج الصدفية,contraindication,ميثوتريكسات,Methotrexate
أنا سيدة في فترة انقطاع الطمث، والدكتور وصف لي فوساماكس لهشاشة العظام، كيف يتم تناوله,ما هي الطريقة الصحيحة لتناول أقراص فوساماكس لعلاج هشاشة العظام,administration,فوساماكس,Alendronate
أنا شاب وظهرت عندي حبوب في الوجه، استخدمت بنزويل بيروكسيد مع ريتينويد، ودلوقتي وشي أحمر ومشحوق,لماذا تتسبب خلط بنزويل بيروكسيد مع الريتينويد في تهيج الجلد واحمراره,interaction,بنزويل بيروكسيد,Benzoyl peroxide
أنا شخص أتعب من نزلة البرد، وأعراضي بدأت تتحسن، ثم رجعت تاني بقوة مع سخونة، ايه السبب,هل يمكن أن تتحسن أعراض البرد ثم تعود بقوة بسبب العدوى البكتيرية,general_info,لا يوجد,لا يوجد
أنا شخص عولج من جرثومة المعدة، بياخد كلاريثروميسين وأوميبرازول وأموكسيسيلين، هل آمن,هل نظام العلاج الثلاثي لجرثومة المعدة آمن للجميع,contraindication,أموكسيسيلين,Amoxicillin
أنا مريض فشل كلوي، والدكتور حذرني من استخدام مضادات الالتهاب مثل بروفين، لماذا,لماذا يُمنع استخدام مضادات الالتهاب غير الستيرويدية مثل بروفين لمرضى الفشل الكلوي,contraindication,بروفين,Ibuprofen
أنا باخد علاج لأمراض الروماتويد، ميثوتريكسات، حصل حمل، هل أستمر فيه,هل دواء ميثوتريكسات آمن للاستمرار عليه أثناء الحمل,contraindication,ميثوتريكسات,Methotrexate
أنا مريض صرع، وبياخد تيجريتول، وفاتني يومين من العلاج، حصلت لي نوبة صرعية,ما هي مضاعفات نسيان جرعات دواء الصرع تيجريتول,side_effects,تيجريتول,Carbamazepine
أنا مريض نفسي وبياخد أولانزابين من فترة طويلة، عايز أعرف تأثيراته الجانبية على المدى البعيد,ما هي الأعراض الجانبية طويلة المدى لدواء أولانزابين,side_effects,أولانزابين,Olanzapine
أنا مريض القلب وبياخد كونكور، من فترة جالي ارتجاع في المريء، الدكتور كتبلي نيكسيوم,هل يتعارض دواء نيكسيوم مع دواء كونكور,interaction,كونكور,Bisoprolol
أنا بستخدم جهاز سبيريفا للانسداد الرئوي، والدكتور قال لي لا تنسى تشطف فمك بعد كل جرعة، ليه,لماذا يجب شطف الفم بعد استخدام جهاز سبيريفا للانسداد الرئوي,administration,سبيريفا,Tiotropium
أنا مرضعة، وعندي فطريات في الحلمة، هل يمكن استخدام كانستن كريم,هل كريم كانستن لعلاج فطريات الحلمة آمن للأم المرضع,contraindication,كانستن,Clotrimazole
أنا مريض سكر نوع أول وباخد إنسولين، دورت وجعتني ضرسي، هل ممكن أستخدم عسل نحل كمسكن,هل عسل النحل آمن وفعال كمسكن لآلام الأسنان بديل عن الأدوية لمرضى السكري,general_info,إنسولين,Insulin
أنا مريض سكر وياخذ جلوكوفاج، وأشعر بتنميل في الأطراف، هل من الممكن أن يكون من السكر أو من الدواء,هل يمكن أن يتسبب دواء جلوكوفاج في تنميل الأطراف,side_effects,جلوكوفاج,Metformin
أنا شخص كبير في السن أعاني من احتباس البول، والدكتور صرف لي هارنال، سؤالي هو كم مره باليوم,كم مرة في اليوم يجب تناول دواء هارنال لعلاج احتباس البول,dosage,هارنال,Tamsulosin
أنا تعبان من ضربات قلبي السريعة ودكتور الباطنة كتبلي كونكور، فجأة جالي ضغط منخفض جدًا,هل يمكن أن يسبب دواء كونكور هبوطًا حادًا في ضغط الدم,side_effects,كونكور,Bisoprolol
أنا أعاني من القولون العصبي، وأصاب بالإمساك، والدكتور وصف لي لاكتولوز، هل هذا الدواء طبيعي,هل دواء لاكتولوز طبيعي وآمن لعلاج الإمساك المرتبط بالقولون العصبي,general_info,لاكتولوز,Lactulose
أنا عندي التهابات في المهبل، ودكتور النساء وصف لي ديفلوكان 150 مجم، هل جرعة واحدة تكفي,هل جرعة واحدة من ديفلوكان 150 مجم كافية لعلاج التهابات المهبل الفطرية,dosage,ديفلوكان,Fluconazole
أنا مريض تليف كبدي، والآلام أسفل الظهر، هل أستعمل كتافاست جل,هل استخدام كتافاست جل موضعي آمن لمرضى تليف الكبد,contraindication,كتافاست,Ketoprofen
أنا مريض ورم سرطاني في المخ، وأخذ دواء كيبرا مضاد للصرع، هل هذا آمن خلال الحمل,هل دواء كيبرا آمن لمرضى الصرع خلال فترة الحمل,contraindication,كيبرا,Levetiracetam
أنا سيدة حامل وتعبت من القيء الشديد، هل من أمان لمضاد القيء موتيليوم,هل دواء موتيليوم آمن لعلاج القيء الشديد أثناء الحمل,contraindication,موتيليوم,Domperidone
أنا مريض ربو حاد وبستخدم فنتولين كل 4 ساعات، بس بشعر بزيادة في ضربات قلبي مؤخرًا,هل زيادة ضربات القلب من الأعراض الجانبية الشائعة لبخاخ فنتولين,side_effects,فنتولين,Salbutamol
أنا مريض سكر النوع الثاني وجلوكوفاج مش كفاية، الدكتور نصحني أضيف إمباجليفلوزين، ما هي فوائده,ما الفائدة من إضافة دواء إمباجليفلوزين إلى جلوكوفاج لمرضى السكر,general_info,إمباجليفلوزين,Empagliflozin
أنا عندي حساسية شديدة من عث الغبار، وأستخدم زيرتيك كل يوم، هل يقاوم الاستخدام اليومي,هل يمكن أن يفقد دواء زيرتيك فعاليته مع الاستخدام اليومي المستمر,general_info,زيرتيك,Cetirizine
أنا مريض بقرحة في المعدة، وصف لي الدكتور أوميبرازول، ما هي المدة المناسبة للعلاج,ما هي مدة العلاج المناسبة لأقراص أوميبرازول لقرحة المعدة,dosage,أوميبرازول,Omeprazole
أنا مريض كلى مزمن، هل يمكنني تناول دواء أتورفاستاتين لتخفيض الكوليسترول,هل دواء أتورفاستاتين آمن لمرضى الكلى المزمنة,contraindication,أتورفاستاتين,Atorvastatin
أختي عندها الصدفية وتستخدم كريم بيتنوفيت، وبقت تلاحظ ظهور حبوب في الوش,ما سبب ظهور حبوب في الوجه بعد استخدام كريم بيتنوفيت لعلاج الصدفية,side_effects,بيتنوفيت,Betamethasone
أنا حامل في الشهر الثامن وأعاني من ربو حاد، وصرف لي الطبيب سيريتيد، هل آمن,هل استخدام بخاخ سيريتيد آمن لعلاج الربو الحاد في الشهر الثامن من الحمل,contraindication,سيريتيد,Fluticasone-Salmeterol
أنا عندي فقر دم، والدكتور قال لي أكل حبوب فيروجلوبين، بس أنا مش حاسة بتحسن، ليه,ما هي الأسباب التي قد تؤدي إلى عدم تحسن فقر الدم بالرغم من تناول فيروجلوبين,general_info,فيروجلوبين,Iron-Vitamin B complex
أنا أعاني من دوالي المريء، والدكتور قال لي ممنوع عليا كتافاست نهائيًا، ليه,لماذا يُمنع استخدام دواء كتافاست على مرضى دوالي المريء,contraindication,كتافاست,Ketoprofen
أنا مريض كبد مزمن ودكاترة قالي لا تستخدم تيربينافين لفطريات الأظافر تحت أي ظرف,لماذا يُمنع دواء تيربينافين على مرضى الكبد المزمن,contraindication,تيربينافين,Terbinafine
أنا مريض انسداد رئوي مزمن، وبستخدم سبيريفا، فجأة حسيت بصعوبة في التبول، ما السبب,هل يمكن أن يسبب جهاز سبيريفا صعوبة في التبول,side_effects,سبيريفا,Tiotropium
أنا قريبتي كانت بتستخدم ايميوم كتير لعلاج الإسهال، جالها انتفاخ في البطن وصعوبة في التنفس، ليه,ما هي مضاعفات الاستخدام المفرط لدواء ايميوم,side_effects,ايميوم,Loperamide
أنا طفلت عندي نزلة برد، والدتي حطتلي نقط أنف فينيليفرين، من بعديها جالي ارتفاع في ضغط الدم,هل يمكن أن تسبب نقط الأنف المحتوية على فينيليفرين ارتفاعًا في ضغط الدم عند الأطفال,side_effects,فينيكل,Phenylephrine
